Abca9,"ATP catabolic process, transport"
Bgn,"Blood vessel remodeling, peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan"
Cbr3,"Metabolic process, oxidation-reduction process"
Col6a1,"Cell adhesion, cellular response to amino acid stimulus, ECM organization"
Col231,"ECM organization, protein homodimerization"
Ddr2,"Biomineral tissue development, cell adhesion, chondrocyte proliferation, collagen activated tyrosine kinase"
Dkk3,"Neg. regulation of Wnt receptor signaling pathway, adrenal gland development, negative regulation of transcription"
Emid2,Positive regulation of cell-substrate adhesion
Eva1b,not known
Glipr2,"positive regulation of ERK1 and ERK2 cascade, positive regulation of epithelial cell migration, positive regulation of EMT"
Itga9,"Cell adhesion, integrin-mediated signaling pathway, neutrophil chemotaxis"
Lama1,"Cell adhesion, branching involved in salivary gland morphogenesis, cell surface receptor signaling pathway"
LOC100046232,not known
Lum,"Cartilage development, collagen fibril organization, response to growth factor stimulus, pos. regulation of transcription"
Nos3,"Angiogenesis, blood vessel remodeling, cellular response to mechanical stimulus"
Plxnd1,"Angiogenesis, endothelial cells"
Samsn1,"Neg. regulation of B cell activation, negative regulation of adaptive immune response"
Snai2,"Notch signaling pathway, Canonical Wnt receptor signaling pathway, cartilage morphogenesis, cell migration,"
Tal1,"Angiogenesis, astrocyte fate commitment, definitive hemopoiesis"
Tfpi,Blood coagulation
Tgfbi,"Angiogenesis, cell adhesion, ECM organization"
Twist2,"Cell differentiation, cornea development, embryonic cranial skeleton morphogenesis, face morphogenesis"
Vegfc,"Angiogenesis, cell differentiation, induction of positive chemotaxis, morphogenesis of embryonic epithelium"